index,project,relativePath,absolutePath,methodName,spanMethod,wholeMethod,body,javaDoc,coverage,tokensPerMethod,javaDocFirstSentence,tokensFirstLine,perturbatedJavaDocSentence
0,dcache,org/dcache/services/info/base/StateComposite.java,/modules/dcache-info/src/main/java/org/dcache/services/info/base/StateComposite.java,hasExpired,175-183,"/**
     * This function checks whether our parent should expunge us.
     */
public boolean hasExpired(){
    Date now = new Date();
    return _whenIShouldExpire != null ? !now.before(_whenIShouldExpire) : false;
}","public boolean hasExpired(){
    Date now = new Date();
    return _whenIShouldExpire != null ? !now.before(_whenIShouldExpire) : false;
}","/**
     * This function checks whether our parent should expunge us.
     */","('hasExpired', {'INSTRUCTION': {'covered': 18, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  This function checks whether our parent should expunge us.,10.0,"['The function checks to see if our parent will expunge us.', 'The function checks if our parent should expunge us.', 'The function checks to see if our parent should take us away.']"
1,matsim-libs,org/matsim/core/replanning/StrategyManager.java,/matsim/src/main/java/org/matsim/core/replanning/StrategyManager.java,addStrategy,109-120,"/**
	 * Adds a strategy to this manager with the specified weight. This weight
	 * compared to the sum of weights of all strategies in this manager defines
	 * the probability this strategy will be used for an agent.
	 *
	 */
public final void addStrategy(final PlanStrategy strategy, final String subpopulation, final double weight){
    delegate.addStrategy(strategy, subpopulation, weight);
}","public final void addStrategy(final PlanStrategy strategy, final String subpopulation, final double weight){
    delegate.addStrategy(strategy, subpopulation, weight);
}","/**
	 * Adds a strategy to this manager with the specified weight. This weight
	 * compared to the sum of weights of all strategies in this manager defines
	 * the probability this strategy will be used for an agent.
	 *
	 */","('addStrategy', {'INSTRUCTION': {'covered': 7, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Adds a strategy to this manager with the specified weight.,11.0,"['A strategy is added to this manager.', 'This manager has a strategy with a specified weight.', 'A strategy is added to this manager with the specified weight.']"
2,jackson-databind,com/fasterxml/jackson/databind/ObjectMapper.java,/src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java,addMixIn,1502-1518,"/**
     * Method to use for adding mix-in annotations to use for augmenting
     * specified class or interface. All annotations from
     * <code>mixinSource</code> are taken to override annotations
     * that <code>target</code> (or its supertypes) has.
     *
     * @param target Class (or interface) whose annotations to effectively override
     * @param mixinSource Class (or interface) whose annotations are to
     *   be ""added"" to target's annotations, overriding as necessary
     *
     * @since 2.5
     */
public ObjectMapper addMixIn(Class<?> target, Class<?> mixinSource){
    _mixIns.addLocalDefinition(target, mixinSource);
    return this;
}","public ObjectMapper addMixIn(Class<?> target, Class<?> mixinSource){
    _mixIns.addLocalDefinition(target, mixinSource);
    return this;
}","/**
     * Method to use for adding mix-in annotations to use for augmenting
     * specified class or interface. All annotations from
     * <code>mixinSource</code> are taken to override annotations
     * that <code>target</code> (or its supertypes) has.
     *
     * @param target Class (or interface) whose annotations to effectively override
     * @param mixinSource Class (or interface) whose annotations are to
     *   be ""added"" to target's annotations, overriding as necessary
     *
     * @since 2.5
     */","('addMixIn', {'INSTRUCTION': {'covered': 7, 'missed': 0}, 'LINE': {'covered': 2, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Method to use for adding mix-in annotations to use for augmenting  specified class or interface.,16.0,"['Adding mix-in annotations is a method to use.', 'Adding mix-in annotations is a method to use for augmenting class or interface.', 'Adding mix-in annotations is a method used for augmenting class or interface.']"
3,matsim-libs,org/matsim/api/core/v01/Id.java,/matsim/src/main/java/org/matsim/api/core/v01/Id.java,compareTo,127-136,"/**
	 * @return <code>0</code> when the two objects being compared are the same objects, other values according to their ids being compared to each other.
	 *
	 * @throws IllegalArgumentException when the two objects being compared have the same id, but are not the same object because this means they must have different generic types
	 */
public int compareTo(Id<T> o) throws IllegalArgumentException{
    return this.toString().compareTo(o.toString());
}","public int compareTo(Id<T> o) throws IllegalArgumentException{
    return this.toString().compareTo(o.toString());
}","/**
	 * @return <code>0</code> when the two objects being compared are the same objects, other values according to their ids being compared to each other.
	 *
	 * @throws IllegalArgumentException when the two objects being compared have the same id, but are not the same object because this means they must have different generic types
	 */","('compareTo', {'INSTRUCTION': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,"@return <code>0</code> when the two objects being compared are the same objects, other values according to their ids being compared to each other.",32.0,"['When the two objects being compared are the same objects, other values are also compared to each other.', 'When the two objects being compared are the same objects, other values are added to their ids.', 'When the two objects being compared are the same objects, other values are added.']"
4,mybatis-3,org/apache/ibatis/io/VFS.java,/src/main/java/org/apache/ibatis/io/VFS.java,addImplClass,91-101,"/**
   * Adds the specified class to the list of {@link VFS} implementations. Classes added in this
   * manner are tried in the order they are added and before any of the built-in implementations.
   *
   * @param clazz The {@link VFS} implementation class to add.
   */
public static void addImplClass(Class<? extends VFS> clazz){
    if (clazz != null) {
        USER_IMPLEMENTATIONS.add(clazz);
    }
}","public static void addImplClass(Class<? extends VFS> clazz){
    if (clazz != null) {
        USER_IMPLEMENTATIONS.add(clazz);
    }
}","/**
   * Adds the specified class to the list of {@link VFS} implementations. Classes added in this
   * manner are tried in the order they are added and before any of the built-in implementations.
   *
   * @param clazz The {@link VFS} implementation class to add.
   */","('addImplClass', {'INSTRUCTION': {'covered': 7, 'missed': 0}, 'BRANCH': {'covered': 1, 'missed': 1}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Adds the specified class to the list of {@link VFS} implementations.,15.0,"['The specified class is added to the list of @link VFS implementations.', 'The specified class is added to the list.', 'The specified class is added to the list of VFS implementations.']"
5,openapi-generator,org/openapitools/codegen/validation/ValidationRule.java,/modules/openapi-generator-core/src/main/java/org/openapitools/codegen/validation/ValidationRule.java,empty,87-94,"/**
     * Constructs an empty rule (useful for testing).
     *
     * @return An ""empty"" rule.
     */
 static ValidationRule empty(){
    return new ValidationRule(Severity.ERROR, ""empty"", ""failure message"", (i) -> Fail.empty());
}"," static ValidationRule empty(){
    return new ValidationRule(Severity.ERROR, ""empty"", ""failure message"", (i) -> Fail.empty());
}","/**
     * Constructs an empty rule (useful for testing).
     *
     * @return An ""empty"" rule.
     */","('empty', {'INSTRUCTION': {'covered': 8, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Constructs an empty rule (useful for testing).,10.0,"['An empty rule is useful for testing.', 'An empty rule is useful in testing.', 'Useful for testing.']"
6,tablesaw,tech/tablesaw/api/Table.java,/core/src/main/java/tech/tablesaw/api/Table.java,xTabCounts,1249-1256,"/**
   * Returns a table with n by m + 1 cells. The first column contains labels, the other cells
   * contains the counts for every unique combination of values from the two specified columns in
   * this table.
   */
public Table xTabCounts(String column1Name, String column2Name){
    return CrossTab.counts(this, categoricalColumn(column1Name), categoricalColumn(column2Name));
}","public Table xTabCounts(String column1Name, String column2Name){
    return CrossTab.counts(this, categoricalColumn(column1Name), categoricalColumn(column2Name));
}","/**
   * Returns a table with n by m + 1 cells. The first column contains labels, the other cells
   * contains the counts for every unique combination of values from the two specified columns in
   * this table.
   */","('xTabCounts', {'INSTRUCTION': {'covered': 9, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,Returns a table with n by m + 1 cells.,11.0,"['The table has n by m and 1 cells.', 'A table with n by m and 1 cells is returned.', 'A table with n by m and 1 cells.']"
7,tablesaw,tech/tablesaw/api/Table.java,/core/src/main/java/tech/tablesaw/api/Table.java,row,712-717,"/** Returns a new Row object with its position set to the given zero-based row index. */
public Row row(int rowIndex){
    Row row = new Row(Table.this);
    row.at(rowIndex);
    return row;
}","public Row row(int rowIndex){
    Row row = new Row(Table.this);
    row.at(rowIndex);
    return row;
}",/** Returns a new Row object with its position set to the given zero-based row index. */,"('row', {'INSTRUCTION': {'covered': 10, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0, Returns a new Row object with its position set to the given zero-based row index.,16.0,"['A new Row object with its position set to the zero-based row index is returned.', 'A new Row object is returned with its position set to the zero-based row index.', 'A new row object is returned with its position set to the zero-based row index.']"
8,dcache,org/dcache/services/info/base/StateComposite.java,/modules/dcache-info/src/main/java/org/dcache/services/info/base/StateComposite.java,buildChildPath,675-685,"/**
     * Build a child's StatePath, taking into account that a path may be null (this one-liner is
     * repeated fairly often)
     *
     * @param ourPath   our current path, or null if we are the root StateComposite
     * @param childName the name of the child.
     * @return
     */
private StatePath buildChildPath(StatePath ourPath, String childName){
    return ourPath != null ? ourPath.newChild(childName) : new StatePath(childName);
}","private StatePath buildChildPath(StatePath ourPath, String childName){
    return ourPath != null ? ourPath.newChild(childName) : new StatePath(childName);
}","/**
     * Build a child's StatePath, taking into account that a path may be null (this one-liner is
     * repeated fairly often)
     *
     * @param ourPath   our current path, or null if we are the root StateComposite
     * @param childName the name of the child.
     * @return
     */","('buildChildPath', {'INSTRUCTION': {'covered': 11, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,"  Build a child's StatePath, taking into account that a path may be null (this one-liner is  repeated fairly often)   @param ourPath our current path, or null if we are the root StateComposite  @param childName the name of the child.",47.0,"[""Take into account that a path may be null and build a child's StatePath."", ""Take into account that a path may be null and build a child's StatePath, naming the child's name."", ""Take into account that a path may be null, and build a child's StatePath, naming the child's name.""]"
9,dcache,org/dcache/services/info/base/StateComposite.java,/modules/dcache-info/src/main/java/org/dcache/services/info/base/StateComposite.java,becomeMortal,202-210,"/**
     * Initialise our expiry time to some point in the future.
     *
     * @param lifetime the time, in seconds.
     */
private void becomeMortal(long lifetime){
    _whenIShouldExpire = new Date(System.currentTimeMillis() + TimeUnit.SECONDS.toMillis(lifetime));
}","private void becomeMortal(long lifetime){
    _whenIShouldExpire = new Date(System.currentTimeMillis() + TimeUnit.SECONDS.toMillis(lifetime));
}","/**
     * Initialise our expiry time to some point in the future.
     *
     * @param lifetime the time, in seconds.
     */","('becomeMortal', {'INSTRUCTION': {'covered': 11, 'missed': 0}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",30.0,  Initialise our expiry time to some point in the future.,11.0,"['We should initialise our time in the future.', 'We should initialise our time to the future.', 'We should initialise our time to come.']"
